"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
285, 8.049457669258121e-01, 2.794474204999448e-02, 9.693291099114513e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.592472190914306e+00, 0.000000000000000e+00, 1.436988876365722e+00, 1.102973919477372e+00, 0.000000000000000e+00, 1.858685767901287e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658625784187974e-07, 1.674466484538522e-03, -4.434677690069467e-05, -1.083218134678892e+02, 1.911915773397168e+00, 0.000000000000000e+00
311, 7.863141298294072e-01, 2.832058470461782e-02, 9.803127398488155e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.633383950078719e+00, 0.000000000000000e+00, 1.453353580031487e+00, 1.103036110764490e+00, 0.000000000000000e+00, 2.185979841216588e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658696654954015e-07, 1.525934105318008e-03, -1.726321087457682e-05, -8.885826083330844e+01, 1.833334361015166e+00, 0.000000000000000e+00
337, 7.678796052932738e-01, 2.836407926930402e-02, 9.874906206935090e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.660113366329002e+00, 0.000000000000000e+00, 1.464045346531601e+00, 1.103073983065833e+00, 0.000000000000000e+00, 2.399815171218856e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658739811783645e-07, 1.380725932528406e-03, 1.159079552545260e-05, -7.054079941788785e+01, 1.747842903798606e+00, 0.000000000000000e+00
363, 7.495508193969731e-01, 2.801196732877063e-02, 9.912729376328802e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.673861961862240e+00, 0.000000000000000e+00, 1.469544784744896e+00, 1.102992776682044e+00, 0.000000000000000e+00, 2.509803935484759e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658647273332020e-07, 1.259433751693765e-03, 3.887471648409549e-05, -5.642799945456850e+01, 1.672232349326599e+00, 0.000000000000000e+00
389, 7.313483357429502e-01, 2.723647510222258e-02, 9.920119921613377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.675768904527330e+00, 0.000000000000000e+00, 1.470307561810932e+00, 1.102743130106228e+00, 0.000000000000000e+00, 2.525059476805477e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658362768338161e-07, 1.179489883983237e-03, 6.423258502672799e-05, -4.702537850837517e+01, 1.620664160851301e+00, 0.000000000000000e+00
415, 7.132214307785030e-01, 2.603354379577313e-02, 9.901200654259563e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.667343819490582e+00, 0.000000000000000e+00, 1.466937527796232e+00, 1.102317873866985e+00, 0.000000000000000e+00, 2.457658796511493e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.657878059747510e-07, 1.151312260635321e-03, 8.927887210635039e-05, -4.179570252322063e+01, 1.602185281361900e+00, 0.000000000000000e+00
441, 6.951977014541630e-01, 2.443316277281937e-02, 9.857369111183999e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.649189674421030e+00, 0.000000000000000e+00, 1.459675869768412e+00, 1.101738438743912e+00, 0.000000000000000e+00, 2.312425635955085e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.657217468623583e-07, 1.172319544380791e-03, 1.156079710797393e-04, -3.917383313817566e+01, 1.617653249822718e+00, 0.000000000000000e+00
467, 6.773055195808408e-01, 2.249170604091855e-02, 9.787973760728027e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.621196120784437e+00, 0.000000000000000e+00, 1.448478448313774e+00, 1.101038065094169e+00, 0.000000000000000e+00, 2.088477206862330e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.656418770869581e-07, 1.227917156068976e-03, 1.429932482926481e-04, -3.559433066305902e+01, 1.654084410782106e+00, 0.000000000000000e+00
493, 6.594728827476497e-01, 2.027294085046735e-02, 9.687020662975029e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.581206546435924e+00, 0.000000000000000e+00, 1.432482618574370e+00, 1.100226819470387e+00, 0.000000000000000e+00, 1.768560612074235e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.655493321969754e-07, 1.320604957001772e-03, 1.715948805984047e-04, -2.973265915178468e+01, 1.710654023997270e+00, 0.000000000000000e+00
519, 6.418011188507080e-01, 1.787838593205205e-02, 9.560052692902758e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.531315063290630e+00, 0.000000000000000e+00, 1.412526025316252e+00, 1.099307686419278e+00, 0.000000000000000e+00, 1.369428746911883e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.654444390065657e-07, 1.647078177459153e-03, 2.279917816576930e-04, -7.252180632659712e+01, 1.901572225257930e+00, 0.000000000000000e+00
545, 6.243042349815368e-01, 1.540482786565624e-02, 9.416910056761452e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.475650804382872e+00, 0.000000000000000e+00, 1.390260321753149e+00, 1.098425984403712e+00, 0.000000000000000e+00, 9.241146756498167e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.653437767745262e-07, 1.914611985053650e-03, 2.701539224582516e-04, -1.072182503352292e+02, 2.037738024592198e+00, 0.000000000000000e+00
571, 6.065399646759025e-01, 1.290299708820652e-02, 9.264678234677296e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.417026570262986e+00, 0.000000000000000e+00, 1.366810628105194e+00, 1.097642966173250e+00, 0.000000000000000e+00, 4.551208026907229e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652543476023372e-07, 2.156686425907342e-03, 2.974578473369980e-04, -1.428584717595988e+02, 2.146141980740715e+00, 0.000000000000000e+00
597, 5.888153314590450e-01, 1.051007231874838e-02, 9.113065232006927e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.359096629412353e+00, 0.000000000000000e+00, 1.343638651764941e+00, 1.096986042319264e+00, 0.000000000000000e+00, -8.318724114331214e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.651792954590340e-07, 2.383233926354137e-03, 3.102426173958295e-04, -1.848221456470907e+02, 2.233713921696256e+00, 0.000000000000000e+00
623, 5.713157057762153e-01, 8.317603201344143e-03, 8.979189277497444e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.308114926037172e+00, 0.000000000000000e+00, 1.323245970414868e+00, 1.096444229030596e+00, 0.000000000000000e+00, -4.161723511157868e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651173777431298e-07, 2.595057401829690e-03, 3.072106981347588e-04, -2.325854261137870e+02, 2.310015843602121e+00, 0.000000000000000e+00
649, 5.538190603256233e-01, 6.367108514005002e-03, 8.878930163980805e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.269930438644264e+00, 0.000000000000000e+00, 1.307972175457705e+00, 1.096026254609124e+00, 0.000000000000000e+00, -7.216482502590485e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650696018452408e-07, 2.784099709639014e-03, 2.883736620073516e-04, -2.806488710070510e+02, 2.374716420781092e+00, 0.000000000000000e+00
